"","datetime","RPT_ID","운용팀","제조사","중계기명","함체온도","시도명","시군구명","동명","temp","wind_direct","wind_speed","rain_fall","월"
"79",2016-08-14 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",46,"경기도","성남시 분당구","구미동",32.5,308.9,0.6,NA,"16-08"
"80",2016-08-15 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",47,"경기도","성남시 분당구","구미동",33.2,302.8,1.7,NA,"16-08"
"81",2016-08-16 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",48,"경기도","성남시 분당구","구미동",33.6,161.3,1.9,NA,"16-08"
"82",2016-10-03 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",37,"경기도","성남시 분당구","구미동",26.7,231.5,0.7,NA,"16-10"
"83",2016-10-04 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",42,"경기도","성남시 분당구","구미동",26.7,89.9,1.6,NA,"16-10"
"84",2016-10-05 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",42,"경기도","성남시 분당구","구미동",23.7,2,2.5,NA,"16-10"
"85",2016-10-06 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",40,"경기도","성남시 분당구","구미동",21.7,323.2,1,NA,"16-10"
"86",2016-10-07 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",38,"경기도","성남시 분당구","구미동",23.1,167.3,1.8,NA,"16-10"
"87",2016-10-11 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",33,"경기도","성남시 분당구","구미동",18.7,166.9,0.5,NA,"16-10"
"88",2016-10-12 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",35,"경기도","성남시 분당구","구미동",19.4,294.2,1.1,NA,"16-10"
"89",2016-10-13 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",36,"경기도","성남시 분당구","구미동",18.1,318.1,0.7,NA,"16-10"
"90",2016-10-14 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",35,"경기도","성남시 분당구","구미동",20.6,104.8,1.2,NA,"16-10"
"91",2016-10-15 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",37,"경기도","성남시 분당구","구미동",22.6,129,0.5,NA,"16-10"
"92",2016-10-16 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",39,"경기도","성남시 분당구","구미동",20.1,136.7,1,NA,"16-10"
"93",2016-10-17 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",37,"경기도","성남시 분당구","구미동",21.8,8.3,2.4,NA,"16-10"
"94",2016-10-18 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",38,"경기도","성남시 분당구","구미동",19.6,116.6,1.1,NA,"16-10"
"95",2016-10-19 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",36,"경기도","성남시 분당구","구미동",21.7,321.1,1.6,NA,"16-10"
"96",2016-10-20 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",38,"경기도","성남시 분당구","구미동",21.7,11.7,1.2,NA,"16-10"
"97",2016-10-21 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",38,"경기도","성남시 분당구","구미동",19.6,92.5,2.4,NA,"16-10"
"98",2016-10-22 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",37,"경기도","성남시 분당구","구미동",19.8,308.8,0.6,NA,"16-10"
"99",2016-10-23 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",38,"경기도","성남시 분당구","구미동",15,94.2,1.7,NA,"16-10"
"100",2016-10-24 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",33,"경기도","성남시 분당구","구미동",17.5,94.5,1.9,NA,"16-10"
"101",2016-10-25 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",34,"경기도","성남시 분당구","구미동",16.5,170.4,2.1,NA,"16-10"
"102",2016-10-26 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",32,"경기도","성남시 분당구","구미동",16.2,46.1,0.8,NA,"16-10"
"103",2016-10-27 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",33,"경기도","성남시 분당구","구미동",17.6,161.4,0.8,NA,"16-10"
"104",2016-10-28 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",34,"경기도","성남시 분당구","구미동",17.4,343.9,1,NA,"16-10"
"105",2016-10-29 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",34,"경기도","성남시 분당구","구미동",11.9,346.8,1.7,NA,"16-10"
"106",2016-10-30 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",29,"경기도","성남시 분당구","구미동",11.9,333.5,2,NA,"16-10"
"107",2016-10-31 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",27,"경기도","성남시 분당구","구미동",9.3,344.3,1,NA,"16-10"
"108",2016-11-01 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",27,"경기도","성남시 분당구","구미동",5.2,336.9,1.7,NA,"16-11"
"109",2016-11-02 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",19,"경기도","성남시 분당구","구미동",9,356.4,1,NA,"16-11"
"110",2016-11-03 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",23,"경기도","성남시 분당구","구미동",11.8,19.6,1.1,NA,"16-11"
"111",2016-11-04 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",29,"경기도","성남시 분당구","구미동",15,195.2,1.9,NA,"16-11"
"112",2016-11-05 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",31,"경기도","성남시 분당구","구미동",16.5,172.6,1.3,NA,"16-11"
"113",2016-11-06 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",34,"경기도","성남시 분당구","구미동",17,101.4,3.2,NA,"16-11"
"114",2016-11-07 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",34,"경기도","성남시 분당구","구미동",16.7,101.2,0.9,NA,"16-11"
"115",2016-11-08 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",34,"경기도","성남시 분당구","구미동",7.3,284.4,2,NA,"16-11"
"116",2016-11-09 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",25,"경기도","성남시 분당구","구미동",6.4,344.6,1.2,NA,"16-11"
"117",2016-11-22 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",27,"경기도","성남시 분당구","구미동",5.6,319.9,2.7,NA,"16-11"
"118",2016-11-23 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",25,"경기도","성남시 분당구","구미동",2.5,338.8,1.5,NA,"16-11"
"119",2016-11-24 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",16,"경기도","성남시 분당구","구미동",0.9,300.6,1.7,NA,"16-11"
"120",2016-11-26 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",18,"경기도","성남시 분당구","구미동",3.1,108.5,0.5,NA,"16-11"
"121",2016-11-27 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",18,"경기도","성남시 분당구","구미동",5.1,85.5,1.7,NA,"16-11"
"122",2016-11-28 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",22,"경기도","성남시 분당구","구미동",4.9,22.5,1.1,NA,"16-11"
"123",2016-11-29 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",20,"경기도","성남시 분당구","구미동",5.5,342,1.6,NA,"16-11"
"124",2016-11-30 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",20,"경기도","성남시 분당구","구미동",9.2,343.5,1,NA,"16-11"
"125",2016-12-01 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",23,"경기도","성남시 분당구","구미동",8.2,309.7,3.3,NA,"16-12"
"126",2016-12-02 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",22,"경기도","성남시 분당구","구미동",5.6,347,1.3,NA,"16-12"
"127",2016-12-03 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",20,"경기도","성남시 분당구","구미동",8,313.8,1.4,NA,"16-12"
"128",2016-12-04 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",22,"경기도","성남시 분당구","구미동",6.8,101.4,0.1,NA,"16-12"
"129",2016-12-05 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",24,"경기도","성남시 분당구","구미동",11.8,267.4,1.5,NA,"16-12"
"130",2016-12-06 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",24,"경기도","성남시 분당구","구미동",2,344.3,1.7,NA,"16-12"
"131",2016-12-07 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",17,"경기도","성남시 분당구","구미동",3.9,89.2,1.4,NA,"16-12"
"132",2016-12-08 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",20,"경기도","성남시 분당구","구미동",5.1,82.8,1,NA,"16-12"
"133",2016-12-09 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",20,"경기도","성남시 분당구","구미동",4.5,294.9,3.2,NA,"16-12"
"134",2016-12-10 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",20,"경기도","성남시 분당구","구미동",1.3,291.4,1,NA,"16-12"
"135",2016-12-11 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",17,"경기도","성남시 분당구","구미동",2,303.8,0.6,NA,"16-12"
"136",2016-12-12 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",18,"경기도","성남시 분당구","구미동",2.6,317.1,0.5,NA,"16-12"
"137",2016-12-13 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",20,"경기도","성남시 분당구","구미동",7.8,24.2,1.3,NA,"16-12"
"138",2016-12-14 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",22,"경기도","성남시 분당구","구미동",0.5,311.3,1.3,NA,"16-12"
"139",2016-12-15 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",18,"경기도","성남시 분당구","구미동",-1.9,283.7,3,NA,"16-12"
"140",2016-12-16 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",14,"경기도","성남시 분당구","구미동",-1.4,345.8,1.8,NA,"16-12"
"141",2016-12-17 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",13,"경기도","성남시 분당구","구미동",6.7,166.6,1.6,NA,"16-12"
"142",2016-12-18 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",22,"경기도","성남시 분당구","구미동",6.8,92.6,2,NA,"16-12"
"143",2016-12-19 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",24,"경기도","성남시 분당구","구미동",9.6,99.9,1,NA,"16-12"
"144",2016-12-20 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",27,"경기도","성남시 분당구","구미동",11.6,351.2,1.4,NA,"16-12"
"145",2016-12-21 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",29,"경기도","성남시 분당구","구미동",12.5,97.9,2.5,NA,"16-12"
"146",2016-12-22 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",27,"경기도","성남시 분당구","구미동",7,223.1,1.8,NA,"16-12"
"147",2016-12-23 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",25,"경기도","성남시 분당구","구미동",-0.3,297.2,3.4,NA,"16-12"
"148",2016-12-24 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",16,"경기도","성남시 분당구","구미동",-0.4,243.7,0.9,NA,"16-12"
"149",2016-12-25 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",16,"경기도","성남시 분당구","구미동",2.9,328,0.7,NA,"16-12"
"150",2016-12-26 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",19,"경기도","성남시 분당구","구미동",4,356.4,0.9,NA,"16-12"
"151",2016-12-27 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",21,"경기도","성남시 분당구","구미동",0.8,306.5,3.1,NA,"16-12"
"152",2016-12-28 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",17,"경기도","성남시 분당구","구미동",0,328,1.1,NA,"16-12"
"153",2016-12-29 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",15,"경기도","성남시 분당구","구미동",-2.3,306,3.5,NA,"16-12"
"154",2016-12-30 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",14,"경기도","성남시 분당구","구미동",-1,80.2,1,NA,"16-12"
"155",2016-12-31 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",15,"경기도","성남시 분당구","구미동",2.7,164.1,0.5,NA,"16-12"
"156",2017-01-01 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",20,"경기도","성남시 분당구","구미동",6.3,172.5,2.2,NA,"17-01"
"157",2017-01-02 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",22,"경기도","성남시 분당구","구미동",8,172,1.6,NA,"17-01"
"158",2017-01-03 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",23,"경기도","성남시 분당구","구미동",6,149.6,0.7,NA,"17-01"
"159",2017-01-04 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",20,"경기도","성남시 분당구","구미동",8.2,41.4,1,NA,"17-01"
"160",2017-01-05 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",23,"경기도","성남시 분당구","구미동",6.7,322,1.4,NA,"17-01"
